Textbox12
From: 5/3/2020 4:30:00 PM  To:  5/4/2020 12:30:00 AM

IncidentDate,Location,Latitude1,Longitude1,IncidentTypeDescription1
5/3/2020 4:49:41 PM,3960 BELL RD ,36.16647754,-86.60379043,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 4:49:46 PM,8495 SYCAMORE CREEK RD,36.38730555,-86.89626601,ELECTRICAL HAZARD
5/3/2020 4:50:01 PM,513 HILL RD,36.04718108,-86.75052580,ELECTRICAL HAZARD
5/3/2020 4:50:51 PM,80 BROOKWOOD TER,36.13041375,-86.85979735,ELECTRICAL HAZARD
5/3/2020 4:51:19 PM,OLD HICKORY BLVD / EDMONDSON PKE,36.04002112,-86.74348130,MVA OTHER HAZARDS
5/3/2020 4:51:19 PM,OLD HICKORY BLVD / EDMONDSON PKE,36.04002112,-86.74348130,MVA OTHER HAZARDS
5/3/2020 4:51:45 PM,922 SUTTON HILL RD,36.11420508,-86.78295370,SMALL BUILDING INVESTIGATION
5/3/2020 4:52:15 PM,900 TOWER PL,36.09635410,-86.78684686,ELECTRICAL HAZARD
5/3/2020 4:52:45 PM,4900 DANBY DR,36.07412404,-86.74565657,ELECTRICAL HAZARD
5/3/2020 4:53:06 PM,1613 ELM RUN,36.13541502,-86.63477200,LIGHTNING STRIKE TO HOUSE
5/3/2020 4:54:59 PM,8655 WHITES CREEK PKE,36.38495815,-86.89783543,RESIDENTIAL FIRE
5/3/2020 4:55:32 PM,14TH AV N / BUCHANAN ST,36.18013621,-86.80765888,SMALL BUILDING INVESTIGATION
5/3/2020 4:55:53 PM,1706 22ND AV N,36.17741041,-86.81230619,SMALL GRASS FIRE
5/3/2020 4:56:30 PM,2044 HUTTON DR,36.12817362,-86.74946020,ELECTRICAL HAZARD
5/3/2020 4:57:01 PM,718 BRESSLYN RD,36.11888457,-86.87925385,ELECTRICAL HAZARD
5/3/2020 4:58:06 PM,903 ARBOR LAKE BLVD,36.16418316,-86.60060688,APARTMENT FIRE
5/3/2020 4:58:24 PM,808 CLOVERFIELD CT,36.02650558,-86.76139710,SMALL BUILDING INVESTIGATION
5/3/2020 4:58:53 PM,1718 STOKES LN,36.11840895,-86.80490857,ELECTRICAL HAZARD
5/3/2020 4:59:07 PM,5016 RAGLAND DR,36.07113853,-86.77079595,ELECTRICAL HAZARD
5/3/2020 4:59:33 PM,990 GREERLAND DR,36.10075419,-86.78994691,ELECTRICAL HAZARD - WIRES DOWN
5/3/2020 5:00:52 PM,5004 FRANKLIN PKE,36.07116583,-86.77332104,ELECTRICAL HAZARD
5/3/2020 5:00:56 PM,W HAMILTON RD / CLARKSVILLE PKE,36.20833954,-86.83964700,ELECTRICAL HAZARD
5/3/2020 5:01:49 PM,5944 LONG MEADOW RD,36.10846271,-86.86990983,ELECTRICAL HAZARD
5/3/2020 5:02:38 PM,2416 RIDGELAND DR,36.20122004,-86.67921010,ELECTRICAL HAZARD
5/3/2020 5:02:52 PM,110 MOCKINGBIRD RD,36.13209702,-86.83588741,HOUSE NATURAL GAS LEAK
5/3/2020 5:03:52 PM,3021 ANDERSON RD,36.07345515,-86.62148382,UNCONFIRMED ENTRAPMENT SMALL BUILDING
5/3/2020 5:04:02 PM,2303 SPRINGDALE DR,36.12283686,-86.81551276,ELECTRICAL HAZARD
5/3/2020 5:04:26 PM,3213 ALPINE AV,36.20194314,-86.82824939,ELECTRICAL HAZARD
5/3/2020 5:04:26 PM,3609 WILBUR PL,36.10820938,-86.78444377,HOUSE NATURAL GAS LEAK
5/3/2020 5:04:57 PM,1008 ANTIOCH PKE,36.09973503,-86.71616726,ELECTRICAL HAZARD
5/3/2020 5:05:31 PM,OLD LEBANON DIRT RD / CHESNEY GLEN DR,36.18900383,-86.58544552,ENTRAPMENT UNKNOWN SITUATION
5/3/2020 5:05:46 PM,3025 ANDERSON RD,36.07343277,-86.62120639,AVALANCHE INVESTIGATION
5/3/2020 5:06:03 PM,2928 SINBAD DR,36.16172185,-86.65455894,ELECTRICAL HAZARD
5/3/2020 5:06:04 PM,2030 BERNARD CIR ,36.13125958,-86.78926008,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 5:07:22 PM,N NEW HOPE RD / NEW HOPE MEADOW RD,36.19064919,-86.58158472,ELECTRICAL HAZARD
5/3/2020 5:07:35 PM,407 HILLWOOD BLVD,36.13082891,-86.86713023,ELECTRICAL HAZARD
5/3/2020 5:08:46 PM,3603 RAINBOW PL,36.10770313,-86.77862101,ELECTRICAL HAZARD
5/3/2020 5:09:10 PM,4271 CENTRAL PKE,36.17386005,-86.57903182,ELECTRICAL HAZARD
5/3/2020 5:09:36 PM,S NEW HOPE RD / BELL RD,36.16062973,-86.58538560,ENTRAPMENT UNKNOWN SITUATION
5/3/2020 5:10:04 PM,5537 STANFORD DR,36.08212314,-86.83053797,ELECTRICAL HAZARD
5/3/2020 5:10:04 PM,5101 HARDING PL,36.08922009,-86.68737703,ELECTRICAL HAZARD
5/3/2020 5:10:56 PM,300 SEVEN SPRINGS WAY,36.04211693,-86.76807525,ELEVATOR MALFUNCTION   OCCUPANTS INSIDE
5/3/2020 5:11:01 PM,KINWOOD DR / FOREST VIEW DR,36.07219982,-86.62514248,ELECTRICAL HAZARD
5/3/2020 5:11:03 PM,354 BATTLE RD,35.99788895,-86.62842347,ELECTRICAL HAZARD
5/3/2020 5:11:37 PM,ELLINGTON PKWY S / E TRINITY LN,36.20470051,-86.75037333,UNKNOWN STATUS:
5/3/2020 5:12:05 PM,5037 BONNAMEADE DR,36.19685469,-86.62965478,UNKNOWN PROBLEM INVESTIGATION
5/3/2020 5:12:40 PM,7205 MARK DR,36.06584867,-86.92877244,ELECTRICAL HAZARD
5/3/2020 5:13:01 PM,741 MURFREESBORO PKE,36.13762864,-86.72940245,ELECTRICAL HAZARD
5/3/2020 5:13:06 PM,5584 SADDLEWOOD LN,36.02485568,-86.75998480,ELECTRICAL HAZARD
5/3/2020 5:13:16 PM,700 TIMBER LN,36.12197038,-86.82348438,ELECTRICAL HAZARD
5/3/2020 5:13:29 PM,20 N HILL ST,36.14534545,-86.76126269,UNKNOWN ENTRAPMENT  UNCONFIRMED
5/3/2020 5:14:01 PM,4505 BEACON DR,36.08919971,-86.84530291,ELECTRICAL HAZARD
5/3/2020 5:14:56 PM,14TH AV N / BUCHANAN ST,36.18013621,-86.80765888,UNKNOWN ENTRAPMENT  UNCONFIRMED
5/3/2020 5:16:10 PM,97 WHITE BRIDGE PKE,36.13100078,-86.85823222,ELECTRICAL HAZARD
5/3/2020 5:16:22 PM,DOWNEYMEADE DR / LEBANON PKE,36.18181447,-86.64157809,SMALL OUTSIDE FIRE
5/3/2020 5:16:31 PM,4348 CENTRAL PKE,36.17358803,-86.57258051,ELECTRICAL HAZARD
5/3/2020 5:17:06 PM,2202 SHERIDAN RD,36.19280982,-86.71478802,ELECTRICAL HAZARD
5/3/2020 5:17:09 PM,1437 BELL TRACE DR,36.04028259,-86.67078793,ENTRAPMENT / TRAPPED
5/3/2020 5:17:14 PM,632 ROXANNE DR,36.04911302,-86.69098082,ELECTRICAL HAZARD - WIRES DOWN
5/3/2020 5:17:45 PM,2951 NED SHELTON RD,36.10116536,-86.63547060,ENTRAPMENT UNKNOWN SITUATION
5/3/2020 5:17:48 PM,2025 CALDWELL DR,36.33004523,-86.70061458,CARBON MONOXIDE FIRE ALARM INVESTIGATION
5/3/2020 5:18:01 PM,415 TUSCULUM RD,36.05849071,-86.71790446,ELECTRICAL HAZARD
5/3/2020 5:18:01 PM,415 TUSCULUM RD,36.05849071,-86.71790446,ELECTRICAL HAZARD
5/3/2020 5:18:55 PM,6424 PREMIER DR,36.14708288,-86.87658029,RESIDENTIAL FIRE PERSON TRAPPED
5/3/2020 5:19:09 PM,3223 LINCOLN AV,36.20164072,-86.82984433,ELECTRICAL HAZARD
5/3/2020 5:20:18 PM,610 CONTINENTAL DR,36.14649968,-86.88782716,ELECTRICAL HAZARD
5/3/2020 5:20:23 PM,6203 CHARLOTTE PKE,36.14669909,-86.86947765,SMALL OUTSIDE FIRE
5/3/2020 5:20:25 PM,625 BENTON AV,36.13138384,-86.77062846,ELEVATOR MALFUNCTION   OCCUPANTS INSIDE
5/3/2020 5:20:40 PM,502 PATTERSON ST,36.10321608,-86.74515955,ELECTRICAL HAZARD
5/3/2020 5:21:28 PM,103 JAY ST,36.11888916,-86.74135170,ELECTRICAL HAZARD
5/3/2020 5:21:31 PM,2126 ACKLEN AV,36.13609039,-86.80361661,ELECTRICAL HAZARD
5/3/2020 5:22:33 PM,1408 VILLA PL,36.13995929,-86.79223330,ELECTRICAL HAZARD
5/3/2020 5:22:55 PM,1030 VILLA PL,36.14442790,-86.79145230,ELECTRICAL HAZARD
5/3/2020 5:23:15 PM,1853 PRIMROSE AV,36.12215492,-86.80271949,ELECTRICAL HAZARD
5/3/2020 5:25:03 PM,1651 CHICKERING RD,36.05984766,-86.87453247,ENTRAPMENT / TRAPPED
5/3/2020 5:25:12 PM,ANDREW JACKSON PKWY / HIGHLAND VIEW DR,36.20686034,-86.60563704,ELECTRICAL HAZARD
5/3/2020 5:25:14 PM,446 ANNEX AV,36.14765885,-86.88677817,ELECTRICAL HAZARD
5/3/2020 5:25:14 PM,836 BROOK HOLLOW RD,36.13198886,-86.88285758,ELECTRICAL HAZARD
5/3/2020 5:26:40 PM,1516 ELM RUN CT,36.13645177,-86.63571220,ELECTRICAL HAZARD
5/3/2020 5:26:43 PM,8449 ROLLING HILLS DR,36.08782608,-86.98454042,ELECTRICAL HAZARD
5/3/2020 5:28:03 PM,LEBANON PKE / ANDREW JACKSON PKWY,36.21513253,-86.59767570,OUTSIDE ODOR
5/3/2020 5:28:04 PM,2910 HOBSON PKE,36.09247871,-86.55537959,MAN DOWN: LIFE STATUS QUESTIONABLE
5/3/2020 5:28:07 PM,876 GLENDALE LN,36.09268303,-86.78515446,ELECTRICAL HAZARD
5/3/2020 5:28:43 PM,2410 ELLIOTT AV,36.12587174,-86.77868237,HEART PROBLEMS NOT ALERT
5/3/2020 5:28:59 PM,4341 CHICKERING LN,36.06325493,-86.86571844,ELECTRICAL HAZARD
5/3/2020 5:29:19 PM,497 RURAL HILL RD,36.08039914,-86.62517017,ELECTRICAL HAZARD
5/3/2020 5:31:19 PM,600 DRY CREEK RD,36.31208319,-86.75363372,ELECTRICAL HAZARD
5/3/2020 5:32:26 PM,SUGAR VALLEY DR / NOLENSVILLE PKE,36.01538879,-86.70567117,ELECTRICAL HAZARD
5/3/2020 5:32:37 PM,195 KENNER AV,36.11970914,-86.84124209,ELECTRICAL HAZARD
5/3/2020 5:32:49 PM,5608 STONEWAY TRL,36.13677352,-86.85897310,ELECTRICAL HAZARD
5/3/2020 5:32:52 PM,768 HAYSTACK LN,36.07168857,-86.68443153,UKNOWN ALARM APARTMENT
5/3/2020 5:33:20 PM,1155 RURAL HILL RD,36.06696733,-86.64385448,ELECTRICAL HAZARD
5/3/2020 5:35:25 PM,1208 MARITIME PORT,36.05334306,-86.59825075,RESIDENTIAL FIRE
5/3/2020 5:35:48 PM,450 ANNEX AV,36.14832882,-86.88582780,ELECTRICAL HAZARD
5/3/2020 5:36:04 PM,617 LEMONT DR,36.23475291,-86.74383664,ELECTRICAL HAZARD
5/3/2020 5:37:16 PM,2305 BERNARD AV,36.13147614,-86.80528744,ELECTRICAL HAZARD
5/3/2020 5:38:11 PM,2012 BAKERS GROVE LN,36.10313614,-86.55185982,ELECTRICAL HAZARD
5/3/2020 5:38:48 PM,BAKERS GROVE LN / BAKERS GROVE RD,36.10335598,-86.55297828,ENTRAPMENT / TRAPPED
5/3/2020 5:39:07 PM,930 INDUSTRIAL DR,36.26396822,-86.65888078,DIFFICULTY SPEAKING BETWEEN BREATHS
5/3/2020 5:39:41 PM,1516 FERGUSON AV,36.11947504,-86.79377506,ELECTRICAL HAZARD
5/3/2020 5:40:21 PM,1445 ANTIOCH PKE,36.08071677,-86.68660445,BUILDING ENTRAPMENT  UNCONFIRMED
5/3/2020 5:41:06 PM,3031 JENRY DR,36.17655200,-86.64850352,ELECTRICAL HAZARD
5/3/2020 5:41:34 PM,511 BELLE POST RD,36.10395531,-86.87126444,ELECTRICAL HAZARD
5/3/2020 5:42:01 PM,MM 211 8 I40 E,36.14892393,-86.74656695,MVA INJURIES:
5/3/2020 5:42:14 PM,1899 BAKERS GROVE RD,36.11157525,-86.56289301,ELECTRICAL HAZARD
5/3/2020 5:42:21 PM,2824 BRONTE AV,36.20032674,-86.73655085,ELECTRICAL HAZARD
5/3/2020 5:43:38 PM,2406 OAKLAND AV,36.12669327,-86.79508370,ELECTRICAL HAZARD
5/3/2020 5:44:21 PM,4608 ELKINS AV,36.15007179,-86.84298151,ELECTRICAL HAZARD
5/3/2020 5:45:23 PM,249 BONNACROFT DR,36.19837902,-86.62553451,ELECTRICAL HAZARD
5/3/2020 5:45:42 PM,2618 WOODBERRY DR,36.16063897,-86.67053808,ELECTRICAL HAZARD
5/3/2020 5:46:00 PM,5837 BEAUREGARD DR,36.06991811,-86.82223287,ELECTRICAL HAZARD
5/3/2020 5:46:24 PM,534 NORTHCREST DR,36.06681144,-86.72610621,ELECTRICAL HAZARD
5/3/2020 5:46:42 PM,1500 CLIFTON LN,36.11455478,-86.79795302,ELECTRICAL HAZARD
5/3/2020 5:47:42 PM,724 GEORGETOWN DR,36.12045218,-86.89008781,ELECTRICAL HAZARD
5/3/2020 5:48:00 PM,107 BOWLING AV,36.13912037,-86.82702673,ELECTRICAL HAZARD
5/3/2020 5:48:38 PM,1809 BEECH AV,36.13590695,-86.78085336,ELECTRICAL HAZARD
5/3/2020 5:48:38 PM,1809 BEECH AV,36.13590695,-86.78085336,ELECTRICAL HAZARD
5/3/2020 5:48:55 PM,523 HARDING PL,36.07647299,-86.73483164,ELECTRICAL HAZARD
5/3/2020 5:49:48 PM,8434 MERRYMOUNT DR,36.08417908,-86.99146368,ELECTRICAL HAZARD
5/3/2020 5:49:48 PM,8434 MERRYMOUNT DR,36.08417908,-86.99146368,ELECTRICAL HAZARD
5/3/2020 5:50:26 PM,441 HARDING PL,36.07793397,-86.73064816,ELECTRICAL HAZARD
5/3/2020 5:50:32 PM,8363 OLD CHARLOTTE PKE,36.11913905,-86.98811141,ELECTRICAL HAZARD
5/3/2020 5:50:48 PM,215 PEBBLE BROOK,36.07524723,-86.91633247,ELECTRICAL HAZARD
5/3/2020 5:51:59 PM,141 NEESE DR,36.10738860,-86.72535944,ELECTRICAL HAZARD
5/3/2020 5:52:30 PM,1445 ANTIOCH PKE,36.08071677,-86.68660445,SICK PERSON: ALTERED LEVEL OF CONSCIOUSNESS
5/3/2020 5:52:33 PM,500 PARAGON MILLS RD,36.08732133,-86.72404383,ELECTRICAL HAZARD
5/3/2020 5:52:47 PM,8515 NEWSOM STATION RD,36.08893297,-86.99153345,ELECTRICAL HAZARD
5/3/2020 5:53:53 PM,8238 EVA DR,36.19718753,-86.61007833,ABNORMAL BREATHING OTHER LUNG PROBLEMS
5/3/2020 5:53:54 PM,5004 MILLERWOOD DR,36.06296292,-86.72120330,ELECTRICAL HAZARD
5/3/2020 5:54:04 PM,2136 CLIFF DR ,36.19635966,-86.82556817,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 5:54:09 PM,8097 OLD CHARLOTTE PKE,36.11924389,-86.97212800,ELECTRICAL HAZARD
5/3/2020 5:54:25 PM,1412 AUTUMN KNOLL,36.18667749,-86.60002875,ELECTRICAL HAZARD
5/3/2020 5:54:44 PM,1487 STEWARTS FERRY PKE,36.14434115,-86.58794601,ELECTRICAL HAZARD
5/3/2020 5:55:32 PM,BARNES RD / NOLENSVILLE PKE,36.03353462,-86.71298704,ELECTRICAL HAZARD
5/3/2020 5:56:03 PM,709 5TH AV S,36.15205545,-86.77310430,CLAMMY OR COLD SWEATS
5/3/2020 5:56:05 PM,97 WHITE BRIDGE PKE,36.13100078,-86.85823222,ELECTRICAL HAZARD
5/3/2020 5:56:36 PM,6653 JOCELYN HOLLOW RD,36.09433633,-86.91440135,ELECTRICAL HAZARD
5/3/2020 5:56:55 PM,2240 HERMAN ST,36.16245514,-86.81131756,ELECTRICAL HAZARD
5/3/2020 5:57:59 PM,506 S 7TH ST,36.16837943,-86.75762385,HIGH RISK COMPLICATIONS
5/3/2020 5:58:30 PM,5595 PETTUS RD,36.02752304,-86.67293828,ELECTRICAL HAZARD
5/3/2020 5:58:50 PM,721 ASHFIELD CT,36.04638100,-86.73581886,ELECTRICAL HAZARD
5/3/2020 5:59:05 PM,5020 MANUEL DR,36.06755403,-86.75200302,ELECTRICAL HAZARD
5/3/2020 5:59:09 PM,2215 29TH AV S,36.12942918,-86.81394058,ELECTRICAL HAZARD
5/3/2020 5:59:28 PM,7484 STACY DR,36.07735729,-86.94171233,ELECTRICAL HAZARD
5/3/2020 5:59:45 PM,2919 WELLESLEY TRC,36.11937500,-86.81262832,ELECTRICAL HAZARD
5/3/2020 5:59:50 PM,321 53RD AV N,36.15015471,-86.85144518,ELECTRICAL HAZARD
5/3/2020 6:00:57 PM,2341 DENNYWOOD DR,36.18004750,-86.68424683,ELECTRICAL HAZARD
5/3/2020 6:01:49 PM,1185 HITT LN,36.31004276,-86.73306449,FD REQUEST FROM DISPATCH
5/3/2020 6:02:10 PM,MURFREESBORO PKE / ARLINGTON AV,36.13913435,-86.73324054,CITIZEN ASSIST UNKNOWN SITUATION
5/3/2020 6:02:55 PM,1931 DABBS AV,36.14214114,-86.70457945,ELECTRICAL HAZARD
5/3/2020 6:03:16 PM,522 SCHOLARSHIP DR,36.15145057,-86.88118215,ELECTRICAL HAZARD
5/3/2020 6:03:34 PM,860 MURFREESBORO PKE,36.13454206,-86.72204234,ELECTRICAL HAZARD - WIRES DOWN
5/3/2020 6:04:56 PM,3680 TAMPA DR,36.08115229,-86.70911951,OVERDOSE UNCONSCIOUS - ACCIDENTAL
5/3/2020 6:06:22 PM,4503 CHANDLER RD,36.19607233,-86.59570994,ELECTRICAL HAZARD
5/3/2020 6:07:09 PM,357 GILLETTE RD,36.06112229,-86.70874366,ELECTRICAL HAZARD
5/3/2020 6:07:32 PM,3612 ROUNDWOOD FOREST DR,36.06541320,-86.62081302,ELECTRICAL HAZARD
5/3/2020 6:07:33 PM,634 E CAMPBELL RD,36.27647989,-86.72777447,FEVER / CHILLS
5/3/2020 6:08:38 PM,S HARPETH RD / POPLAR CREEK RD,36.04848345,-87.03980895,ELECTRICAL HAZARD
5/3/2020 6:09:07 PM,6005 DANA WAY ,36.03603644,-86.63625304,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 6:09:24 PM,626 DAVIDSON RD,36.11773963,-86.88546960,ELECTRICAL HAZARD
5/3/2020 6:09:42 PM,1203 ROSEBANK CT,36.18694122,-86.71575126,ELECTRICAL HAZARD
5/3/2020 6:09:51 PM,212 MELMACK DR,36.07349074,-86.69553669,SMALL BUILDING INVESTIGATION
5/3/2020 6:09:51 PM,212 MELMACK DR,36.07349074,-86.69553669,SMALL BUILDING INVESTIGATION
5/3/2020 6:10:37 PM,1032 EDWIN WARNER DR,36.09312187,-86.87960255,CITIZEN ASSIST MEDICAL ASSISTANCE
5/3/2020 6:10:45 PM,340 PEACHTREE ST,36.12064513,-86.74898642,ENTRAPMENT UNKNOWN SITUATION
5/3/2020 6:10:53 PM,595 HICKS RD,36.08473979,-86.93702016,SMALL OUTSIDE FIRE
5/3/2020 6:11:02 PM,DANYACREST DR / LEBANON PKE,36.17993275,-86.64388558,ELECTRICAL HAZARD
5/3/2020 6:11:15 PM,114 TUCKAHOE SQ E,36.25937558,-86.76510168,SICK PERSON: ABNORMAL BREATHING
5/3/2020 6:11:17 PM,4220 HARDING PKE,36.12908906,-86.84356370,ELECTRICAL HAZARD
5/3/2020 6:15:09 PM,418 W HILLWOOD DR,36.12841995,-86.87170305,ELECTRICAL HAZARD
5/3/2020 6:15:16 PM,849 GLEN AV,36.12917256,-86.78246316,ELECTRICAL HAZARD
5/3/2020 6:15:21 PM,370 FORREST VALLEY DR,36.10574332,-86.93752312,ELECTRICAL HAZARD
5/3/2020 6:17:00 PM,I65 N / DUE WEST AV N,36.24995989,-86.74133539,MVA INJURIES:
5/3/2020 6:17:39 PM,3627 HOODS HILL RD,36.11026535,-86.81410034,ELECTRICAL HAZARD
5/3/2020 6:17:40 PM,4116 MEDIA ST,36.14542582,-86.83642581,ELECTRICAL HAZARD
5/3/2020 6:18:02 PM,2131 ELM HILL PKE,36.14878182,-86.69406233,ABNORMAL BREATHING COPD
5/3/2020 6:18:34 PM,255 WILLOW LN,36.07795631,-86.70997096,ABNORMAL BREATHING COPD
5/3/2020 6:18:53 PM,4404 HONEYWOOD DR,36.10901671,-86.85073442,ELECTRICAL HAZARD
5/3/2020 6:18:56 PM,314 WILSON BLVD S,36.12774525,-86.83353334,ELECTRICAL HAZARD
5/3/2020 6:21:24 PM,5825 CROSSINGS BLVD ,36.03631921,-86.64100880,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
5/3/2020 6:22:00 PM,1319 BURTON VALLEY RD,36.08539213,-86.81217875,ELECTRICAL HAZARD
5/3/2020 6:22:04 PM,5902 COLCHESTER DR,36.18233886,-86.58496049,OUTSIDE SMALL TANK LEAK    ODOR
5/3/2020 6:23:16 PM,1713 RIDGEMERE CT,36.18884386,-86.60226770,ELECTRICAL HAZARD
5/3/2020 6:23:22 PM,12331 OLD HICKORY BLVD,36.04257204,-86.58686644,ELECTRICAL HAZARD
5/3/2020 6:23:45 PM,173 JACKSONIAN DR,36.20365529,-86.63551920,ELECTRICAL HAZARD
5/3/2020 6:24:01 PM,1439 MCALPINE AV,36.21242524,-86.71200333,ELECTRICAL HAZARD
5/3/2020 6:25:21 PM,3205 LUANN DR,36.07257714,-86.62175119,ELECTRICAL HAZARD
5/3/2020 6:25:24 PM,4027 LAVERGNE COUCHVILLE PKE,36.05223349,-86.56604835,ELECTRICAL HAZARD
5/3/2020 6:26:36 PM,7837 HIGHWAY 100,36.04985791,-86.93656024,ELECTRICAL HAZARD
5/3/2020 6:26:55 PM,130 BROADMOOR DR,36.22934240,-86.75674111,BACKUP STATION
5/3/2020 6:26:59 PM,2512 NOLENSVILLE PKE,36.11850897,-86.74864307,ELECTRICAL HAZARD
