Textbox12
From: 3/3/2020 12:30:00 AM  To:  3/3/2020 5:00:00 AM

IncidentDate,Location,Latitude1,Longitude1,IncidentTypeDescription1
3/3/2020 1:05:10 AM,1620 24TH AV N,36.17502501,-86.81467254,CONFIRMED ENTRAP BUILDING COLLAPSE WITH HAZMAT
3/3/2020 1:05:10 AM,1620 24TH AV N,36.17502501,-86.81467254,CONFIRMED ENTRAP BUILDING COLLAPSE WITH HAZMAT
3/3/2020 1:06:14 AM,3204 DINAH CT,36.18421800,-86.64261508,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:06:14 AM,3204 DINAH CT,36.18421800,-86.64261508,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:06:29 AM,10 S 14TH ST,36.17627382,-86.74618167,ELECTRICAL HAZARD WITH OR NEAR WATER
3/3/2020 1:06:59 AM,3132 EDGEMONT DR,36.18377018,-86.64502774,CONFIRMED ENTRAP SMALL BUILDING  WITH HAZMAT
3/3/2020 1:08:07 AM,4672 FOREST RIDGE DR,36.17841827,-86.58682445,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:08:53 AM,8 MCFERRIN AV,36.17611583,-86.75546112,TRAUMATIC INJURIES NOT ALERT
3/3/2020 1:09:44 AM,8 MCFERRIN AV,36.17611583,-86.75546112,UNKNOWN STATUS
3/3/2020 1:12:27 AM,3140 STAFFORD DR,36.18408958,-86.64848236,SMALL BUILDING INVESTIGATION
3/3/2020 1:14:34 AM,5610 OLD HICKORY BLVD,36.18065738,-86.60222059,UNCONFIRMED ENTRAPMENT LARGE BUIDING
3/3/2020 1:15:14 AM,1100 3RD AV N,36.17580610,-86.78500895,HIGH LIFE HAZARD NATURAL GAS LEAK
3/3/2020 1:15:14 AM,1100 3RD AV N,36.17580610,-86.78500895,HIGH LIFE HAZARD NATURAL GAS LEAK
3/3/2020 1:19:25 AM,120 S 10TH ST,36.17578129,-86.75183068,OUTSIDE ODOR
3/3/2020 1:19:25 AM,120 S 10TH ST,36.17578129,-86.75183068,OUTSIDE ODOR
3/3/2020 1:21:08 AM,263 RIVERSIDE DR,36.17550865,-86.72616666,CONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:22:33 AM,1303 WOODLAND ST,36.17724350,-86.74678413,OUTSIDE ODOR
3/3/2020 1:24:30 AM,201 N 8TH ST,36.17666019,-86.75898660,CONFIRMED ENTRAPMENT LARGE BUILDING
3/3/2020 1:25:27 AM,302 S 15TH ST,36.17323550,-86.74475881,HOUSE NATURAL GAS LEAK
3/3/2020 1:25:30 AM,2140 BROOKVIEW DR,36.17651513,-86.69486605,CONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:26:21 AM,731 MARGARET ROBERTSON DR,36.18121263,-86.59980960,SMALL BUILDING INVESTIGATION
3/3/2020 1:26:53 AM,OLD HICKORY BLVD / ANDREW JACKSON PKWY,36.18350934,-86.61076337,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 1:27:03 AM,1072 1ST AV N,36.17525492,-86.78192076,CONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 1:28:18 AM,7135 CENTENNIAL PL,36.17689288,-86.87994905,COMMERCIAL STRUCTURE NATURAL GAS LEAK
3/3/2020 1:28:24 AM,3509 ALBEE DR,36.18164997,-86.61125214,UNKNOWN PROBLEM INVESTIGATION
3/3/2020 1:28:24 AM,3509 ALBEE DR,36.18164997,-86.61125214,UNKNOWN PROBLEM INVESTIGATION
3/3/2020 1:30:32 AM,209 JACKSON DOWNS BLVD,36.18019361,-86.64012163,SMALL BUILDING INVESTIGATION
3/3/2020 1:30:32 AM,209 JACKSON DOWNS BLVD,36.18019361,-86.64012163,SMALL BUILDING INVESTIGATION
3/3/2020 1:30:39 AM,3113 STAFFORD DR,36.18294571,-86.64584847,OUTSIDE ODOR
3/3/2020 1:32:25 AM,2322 BRITTANY DR,36.17609639,-86.72381664,ELECTRICAL HAZARD WITH OR NEAR WATER
3/3/2020 1:33:54 AM,1204 WOODLAND ST,36.17690684,-86.74803545,HOUSE NATURAL GAS LEAK
3/3/2020 1:34:00 AM,6121 COCKRILL BEND CIR,36.17848076,-86.89295109,BUILDING ENTRAPMENT  CONFIRMED
3/3/2020 1:34:09 AM,1709 RUSSELL ST,36.17431476,-86.73877810,HOUSE NATURAL GAS ODOR
3/3/2020 1:34:46 AM,1027 CHEATHAM PL,36.17438411,-86.79902065,SMALL BUILDING INVESTIGATION
3/3/2020 1:35:16 AM,1720 UNDERWOOD ST,36.17369865,-86.80768785,OUTSIDE ODOR
3/3/2020 1:35:32 AM,605 MARGARET ROBERTSON DR,36.17883718,-86.59941738,UNKNOWN STATUS
3/3/2020 1:37:25 AM,2722 FORTLAND DR,36.17467368,-86.72274911,SICK PERSON UNKNOWN STATUS
3/3/2020 1:37:25 AM,2722 FORTLAND DR,36.17467368,-86.72274911,SICK PERSON UNKNOWN STATUS
3/3/2020 1:39:00 AM,1107 FOREST RIDGE WAY,36.17788733,-86.58546520,UNKNOWN STATUS
3/3/2020 1:39:41 AM,515 MADISON ST,36.17474678,-86.78915760,BUILDING ENTRAPMENT  CONFIRMED
3/3/2020 1:39:55 AM,1807 LILLIAN ST,36.17222612,-86.73799369,DIZZINESS / VERTIGO
3/3/2020 1:41:16 AM,1900 HOLLY ST,36.17473734,-86.73654722,OUTSIDE NATURAL GAS LEAK RESIDENTIAL LINR   TANK LESS 5 GALL
3/3/2020 1:41:42 AM,408 DENNYWOOD DR,36.17882689,-86.68845074,OUTSIDE ODOR
3/3/2020 1:41:42 AM,2219 MAPLECREST DR,36.17798075,-86.69321498,OUTSIDE SMALL TANK LEAK    ODOR
3/3/2020 1:43:08 AM,1603 COCKRILL ST,36.17496639,-86.80550802,HOUSE NATURAL GAS ODOR
3/3/2020 1:44:03 AM,3609 QUAIL DR,36.18103471,-86.61020705,UNCONSCIOUS EFFECTIVE BREATHING
3/3/2020 1:44:29 AM,3204 DINAH CT,36.18421800,-86.64261508,REQUEST ADDITIONAL FIRE RESOURCES
3/3/2020 1:45:12 AM,1901 HOLLY ST,36.17515403,-86.73648995,POSSIBLY DANGEROUS HEMORRHAGE TRAUMA
3/3/2020 1:45:47 AM,1102 10TH AV N,36.17271084,-86.79489058,OUTSIDE NATURAL GAS LEAK RESIDENTIAL LINR   TANK LESS 5 GALL
3/3/2020 1:45:48 AM,2265 WILLESDEN GREEN,36.18444238,-86.59580577,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 1:46:00 AM,230 BURNING TREE DR,36.17550652,-86.59995303,GENERAL ALARM APARTMENT
3/3/2020 1:47:12 AM,4107 DODSON CHAPEL CT,36.18249722,-86.61238267,OUTSIDE SMALL TANK LEAK    ODOR
3/3/2020 1:47:13 AM,1409 FATHERLAND ST,36.17391129,-86.74544699,ELECTRICAL HAZARD WITH OR NEAR WATER
3/3/2020 1:47:18 AM,406 11TH AV N,36.16279712,-86.79065872,ELEVATOR MALFUNCTION   OCCUPANTS INSIDE
3/3/2020 1:48:27 AM,2219 DEARBORN DR,36.17326549,-86.69722821,OUTSIDE NATURAL GAS LEAK RESIDENTIAL LINR   TANK LESS 5 GALL
3/3/2020 1:48:46 AM,1603 21ST AV N,36.17500762,-86.81128273,SMALL BUILDING INVESTIGATION
3/3/2020 1:48:50 AM,3417 LEBANON PKE,36.18872722,-86.62718271,OUTSIDE ODOR
3/3/2020 1:49:49 AM,621 NEILL AV,36.18218288,-86.75966378,OUTSIDE ODOR
3/3/2020 1:50:06 AM,1707 FATHERLAND ST,36.17329317,-86.73908512,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 1:50:30 AM,1224 LILLIAN ST,36.17307181,-86.74839797,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 1:50:32 AM,1901 HOLLY ST,36.17515403,-86.73648995,STANDING: SITTING: MOVING OR TALKING
3/3/2020 1:52:04 AM,1630 25TH AV N,36.17566502,-86.81594884,SMALL BUILDING INVESTIGATION
3/3/2020 1:52:28 AM,4807 MYRA DR,36.17898031,-86.58303540,SERIOUS HEMORRHAGE STILL ON THE GROUND
3/3/2020 1:53:29 AM,OLD HICKORY BLVD / ANDREW JACKSON PKWY,36.18350934,-86.61076337,MVA INJURIES:
3/3/2020 1:53:53 AM,1620 FATHERLAND ST,36.17321503,-86.74189217,OUTSIDE ODOR
3/3/2020 1:54:39 AM,1044 RIVERWOOD VILLAGE BLVD,36.16841769,-86.61794207,CARBON MONOXIDE ALARM HOUSE
3/3/2020 1:55:38 AM,1606 22ND AV N,36.17524018,-86.81190242,SMALL BUILDING INVESTIGATION
3/3/2020 1:55:42 AM,403 ACHIEVEMENT DR,36.14699727,-86.87982924,VOMITING
3/3/2020 1:55:58 AM,129 HERMITAGE POINT DR ,36.17217725,-86.61940798,MEDICAL ALARM NOTIFICATION
3/3/2020 1:56:01 AM,309 S 10TH ST,36.17348449,-86.75174721,ELECTRICAL HAZARD WITH OR NEAR WATER
3/3/2020 1:56:01 AM,309 S 10TH ST,36.17348449,-86.75174721,ELECTRICAL HAZARD WITH OR NEAR WATER
3/3/2020 1:56:07 AM,571 MARGARET ROBERTSON DR,36.17820681,-86.59885527,ENTRAPMENT UNCONFIRMED  PERIPHERAL
3/3/2020 1:56:15 AM,1628 25TH AV N,36.17553551,-86.81592655,GENERAL ALARM HOUSE
3/3/2020 1:56:15 AM,1628 25TH AV N,36.17553551,-86.81592655,GENERAL ALARM HOUSE
3/3/2020 1:56:21 AM,535 MAIN ST,36.17441091,-86.76334148,HEART PROBLEMS UNKNOWN STATUS
3/3/2020 1:56:58 AM,1212 HOLLY ST,36.17569059,-86.74762548,COMMERCIAL STRUCTURE NATURAL GAS LEAK
3/3/2020 1:57:05 AM,MAIN ST / N 6TH ST,36.17380606,-86.76282446,SICK PERSON: NO PRIORITY SYMPTOMS
3/3/2020 1:58:33 AM,703 MARGARET ROBERTSON DR,36.17998195,-86.60008616,UNCONFIRMED ENTRAPMENT LARGE BUIDING
3/3/2020 1:59:03 AM,333 UNION ST,36.16496675,-86.77956039,STRUCTURE FIRE COMMERCIAL   INDUSTRIAL
3/3/2020 2:01:33 AM,1421 WOODLAND ST,36.17723951,-86.74388525,SMOKE DETECTOR ALARM HOUSE
3/3/2020 2:01:52 AM,2658 BARCLAY DR,36.17424336,-86.71982372,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:02:32 AM,S 9TH ST / MAIN ST,36.17596376,-86.75724606,OUTSIDE NATURAL GAS ODOR COMMERCIAL LINE TANK GREATER5 GALLO
3/3/2020 2:03:06 AM,111 EVANDER ST,36.17597569,-86.74084436,OUTSIDE ODOR
3/3/2020 2:04:00 AM,938 W EASTLAND AV,36.18413794,-86.75436254,OUTSIDE ODOR
3/3/2020 2:04:00 AM,938 W EASTLAND AV,36.18413794,-86.75436254,OUTSIDE ODOR
3/3/2020 2:04:05 AM,N NEW HOPE RD / MYRA DR,36.17896341,-86.58234572,TRAUMATIC INJURIES NOT DANGEROUS BODY AREA
3/3/2020 2:04:49 AM,3622 CENTRAL PKE,36.18344136,-86.62492837,OUTSIDE NATURAL GAS LEAK COMMERCIAL LINE TANK GREATER5 GALLO
3/3/2020 2:05:01 AM,310 N 9TH ST,36.18000811,-86.75880236,POSSIBLY DANGEROUS BODY AREA
3/3/2020 2:05:21 AM,206 S 10TH ST,36.17502258,-86.75200482,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:05:21 AM,602 NEWHALL DR,36.17539129,-86.72347580,TRAUMATIC INJURIES UNKNOWN BODY AREA
3/3/2020 2:05:28 AM,2129 BROOKVIEW DR,36.17663397,-86.69620066,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:05:40 AM,30 MCFERRIN AV,36.17722329,-86.75560670,UNCONFIRMED ENTRAPMENT LARGE BUIDING
3/3/2020 2:05:44 AM,MERIDIAN ST / MERIDIAN CT,36.19806290,-86.76685108,WIRES DOWN WITH SMOKE OR ARCING
3/3/2020 2:06:38 AM,149 BARKER RD,36.17798959,-86.70040727,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:06:49 AM,310 JEFFERSON ST,36.17490686,-86.78590516,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:07:22 AM,1819 KNOWLES ST,36.17189931,-86.80925016,SMOKE DETECTOR ALARM HOUSE
3/3/2020 2:07:30 AM,2808 HUNTLEIGH DR,36.17293465,-86.72573157,HOUSE NATURAL GAS ODOR
3/3/2020 2:08:08 AM,1121 RUSSELL ST,36.17535415,-86.74985323,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:08:54 AM,3213 FRENO LN,36.17806523,-86.67704621,OUTSIDE ODOR
3/3/2020 2:09:15 AM,1515 MARY ST,36.17478138,-86.79973147,SMALL BUILDING INVESTIGATION
3/3/2020 2:09:21 AM,321 BONNAHURST DR,36.20388077,-86.63107315,SERIOUS HEMORRHAGE STILL ON THE GROUND
3/3/2020 2:09:44 AM,1111 FATHERLAND ST,36.17452198,-86.74913765,CONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 2:09:46 AM,1601 HOLLY ST,36.17583096,-86.74168191,SMOKE DETECTOR ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:10:05 AM,3911 WEST END AV,36.13066295,-86.83585422,BACKUP STATION
3/3/2020 2:10:45 AM,1021 RUSSELL ST,36.17593978,-86.75040967,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:10:45 AM,1021 RUSSELL ST,36.17593978,-86.75040967,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:10:52 AM,ARTHUR AV / 11TH AV N,36.17956887,-86.80417231,ENTRAPMENT UNKNOWN SITUATION
3/3/2020 2:11:13 AM,MCGAVOCK PKE / STINSON RD,36.17285522,-86.67930577,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:11:37 AM,2640 DELK AV,36.18044766,-86.82178611,OUTSIDE ODOR
3/3/2020 2:13:00 AM,310 N 9TH ST,36.18000811,-86.75880236,OUTSIDE ODOR
3/3/2020 2:14:34 AM,2602 BRITTANY DR,36.17678005,-86.71496189,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:14:55 AM,4190 NOLENSVILLE PKE,36.07759066,-86.72546453,UNKNOWN STATUS
3/3/2020 2:15:37 AM,313 JEFFERSON ST,36.17458768,-86.78571564,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:15:55 AM,1000 JEFFERSON ST,36.17274190,-86.79522805,OUTSIDE ODOR
3/3/2020 2:16:01 AM,935 SCOVEL ST,36.17343366,-86.79472119,TRAUMATIC INJURIES POSSIBLY DANGEROUS BODY AREA
3/3/2020 2:17:14 AM,2737 MCCAMPBELL AV,36.16151578,-86.65921613,CITIZEN ASSIST  NON MEDICAL
3/3/2020 2:17:59 AM,ROSA L PARKS BLVD / JEFFERSON ST,36.17327863,-86.79141105,TRAUMATIC INJURIES POSSIBLY DANGEROUS BODY AREA
3/3/2020 2:19:06 AM,3500 JOHN A MERRITT BLVD,36.16680333,-86.82948500,OUTSIDE ODOR
3/3/2020 2:19:06 AM,3500 JOHN A MERRITT BLVD,36.16680333,-86.82948500,OUTSIDE ODOR
3/3/2020 2:20:17 AM,2412 DENNYWOOD DR,36.17845922,-86.68106903,TRANSFORMER OUTSIDE  WIRE OR POLE
3/3/2020 2:20:57 AM,MELVIN RD / CENTRAL PKE,36.17361456,-86.57217328,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 2:21:04 AM,704 RAMSEY ST,36.17594209,-86.75932061,APARTMENT NATURAL GAS LEAK
3/3/2020 2:22:59 AM,4496 CLEECES FERRY RD,36.17357681,-86.93247898,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:23:49 AM,1705 22ND AV N,36.17733156,-86.81299125,CITIZEN ASSIST UNKNOWN SITUATION
3/3/2020 2:24:17 AM,EXIT 49 I24 W,36.16355581,-86.76189983,HIGH MECHANISM: ROLLOVERS
3/3/2020 2:25:37 AM,CENTRAL PKE / STONERS BEND DR,36.18553574,-86.62723877,OUTSIDE ODOR
3/3/2020 2:25:41 AM,3851 SAUNDERS AV,36.22045535,-86.73569849,ABNORMAL BREATHING
3/3/2020 2:26:33 AM,1209 PENNOCK AV,36.19268266,-86.76583089,HOUSE FIRE
3/3/2020 2:27:49 AM,1740 61ST AV N,36.17118536,-86.85787221,ELECTRICAL ARCING
3/3/2020 2:28:45 AM,121 S 11TH ST,36.17604558,-86.74978190,HOUSE NATURAL GAS LEAK
3/3/2020 2:29:47 AM,368 KINGVIEW DR,36.21389456,-86.83572258,ABDOMINAL PAIN - NOT ALERT
3/3/2020 2:34:03 AM,925 LEBANON PKE,36.15418475,-86.74087928,DIFFICULTY SPEAKING BETWEEN BREATHS
3/3/2020 2:34:07 AM,420 RAINTREE PL,36.17815065,-86.60212081,APARTMENT FIRE
3/3/2020 2:34:23 AM,7117 CENTENNIAL BLVD,36.17840790,-86.87707997,UNKNOWN COMMERCIAL  INDUSTRIAL ALARM
3/3/2020 2:35:09 AM,3116 EDGEMONT DR,36.18364158,-86.64717603,CONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 2:35:20 AM,95 MAURY ST,36.15262754,-86.75903008,DIFFICULTY SPEAKING BETWEEN BREATHS
3/3/2020 2:35:40 AM,1000 PENNOCK AV,36.18832466,-86.76687834,ODOR OF SMOKE OUTSIDE
3/3/2020 2:40:53 AM,200 E WEBSTER ST,36.25107722,-86.71665675,CITIZEN ASSIST  NON MEDICAL
3/3/2020 2:41:40 AM,528 HIGHCREST DR,36.06289010,-86.72446021,UNCONSCIOUS EFFECTIVE BREATHING
3/3/2020 2:43:16 AM,500 CHURCH ST ,36.16316970,-86.78049967,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:44:11 AM,SPRING ST / N 1ST ST,36.17692186,-86.77458789,SEIZURE: EFFECTIVE BREATHING NOT VERIFIED >35
3/3/2020 2:45:12 AM,901 MONROE ST ,36.17474536,-86.79388141,GENERAL ALARM COMMERCIAL   INDUSTRIAL BUILD
3/3/2020 2:46:20 AM,1161 TULIP GROVE RD,36.17769585,-86.59435046,UNCONFIRMED ENTRAPMENT SMALL BUILDING
3/3/2020 2:49:21 AM,1200 5TH AV N,36.17546044,-86.78789624,CITIZEN ASSIST  NON MEDICAL
3/3/2020 2:50:59 AM,909 ROSA L PARKS BLVD,36.17100752,-86.79063675,DIFFICULTY SPEAKING BETWEEN BREATHS COPD
3/3/2020 2:56:32 AM,1220 2ND AV N,36.17719181,-86.78468865,OUTSIDE ODOR
3/3/2020 2:56:58 AM,1731 24TH AV N,36.17871562,-86.81584049,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 2:58:38 AM,856 BLOOMDALE TRC,36.18015223,-86.59921569,SMALL BUILDING INVESTIGATION
3/3/2020 3:02:28 AM,106 S 14TH ST,36.17531187,-86.74641101,SMALL BUILDING INVESTIGATION
3/3/2020 3:05:55 AM,107 NEILL AV,36.17742017,-86.75824935,SMALL BUILDING INVESTIGATION
3/3/2020 3:07:40 AM,1111 FATHERLAND ST,36.17452198,-86.74913765,UNCONFIRMED ENTRAP SMALL BUILDING WITH HAZMAT
3/3/2020 3:08:08 AM,MM 169 CUMBERLAND R,36.18035874,-86.94213077,WATERCRAFT IN DISTRESS - INVESTIGATION
3/3/2020 3:09:20 AM,310 N 9TH ST,36.18000811,-86.75880236,OUTSIDE ODOR
3/3/2020 3:10:22 AM,404 HUNTERS PATH CT,36.18885847,-86.60631122,DIFFICULTY SPEAKING BETWEEN BREATHS COPD
3/3/2020 3:10:59 AM,1413 JEFFERSON ST,36.17039104,-86.80203743,OUTSIDE NATURAL GAS LEAK COMMERCIAL LINE TANK GREATER5 GALLO
3/3/2020 3:10:59 AM,1413 JEFFERSON ST,36.17039104,-86.80203743,OUTSIDE NATURAL GAS LEAK COMMERCIAL LINE TANK GREATER5 GALLO
3/3/2020 3:11:24 AM,422 RAINTREE PL,36.17810173,-86.60196245,ELECTRICAL HAZARD WITH OR NEAR WATER
3/3/2020 3:11:55 AM,315 4TH AV N,36.16521370,-86.78045449,GENERAL ALARM HIGH LIFE HAZARD
3/3/2020 3:12:58 AM,1056 MALLOW DR,36.25776848,-86.67954728,WIRES DOWN WITH NO SMOKE OR ARCING
3/3/2020 3:16:18 AM,211 N 1ST ST,36.17568695,-86.77408996,OUTSIDE ODOR
